Point;Latitude;Longitude;Departement_name;Departement_id;Region_name;Nom_Produit;Quantité
282;41.4087;9.1577;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
423;41.4925;8.9759;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
424;41.4864;9.071;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
425;41.4802;9.166;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
426;41.4739;9.261;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
565;41.57;8.8888;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
566;41.564;8.984;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
567;41.5579;9.0791;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
568;41.5517;9.1743;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
569;41.5454;9.2694;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
708;41.6415;8.8967;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
709;41.6355;8.992;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
710;41.6294;9.0873;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
711;41.6232;9.1826;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
712;41.6169;9.2779;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
849;41.7248;8.7138;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
850;41.719;8.8093;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
851;41.713;8.9047;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
852;41.707;9.0001;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
853;41.7009;9.0955;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
854;41.6946;9.1909;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
855;41.6884;9.2863;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
856;41.682;9.3817;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
993;41.7905;8.8171;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
994;41.7845;8.9127;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
995;41.7785;9.0083;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
996;41.7724;9.1038;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
997;41.7661;9.1993;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
998;41.7598;9.2948;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
1136;41.862;8.8251;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
1137;41.856;8.9207;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
1138;41.85;9.0164;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
1139;41.8439;9.112;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
1140;41.8376;9.2077;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
1141;41.8313;9.3033;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
1277;41.9452;8.6413;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
1278;41.9394;8.7372;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
1279;41.9335;8.833;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
1280;41.9276;8.9288;Corse-du-Sud;20;Corse;Légumes cultivés pour le fruit;189611
